cat_num,enteredby,accn,guid_prefix,identifier_1_value,identifier_1_type,identifier_1_relationship,identifier_2_value,identifier_2_type,agent_1_name,agent_1_role,agent_2_name,agent_2_role,agent_3_name,agent_3_role,agent_4_name,agent_4_role,identification_1,identification_1_order,identification_1_attribute_type_1,identification_1_attribute_value_1,identification_1_agent_1,identification_1_date,identification_1_remark,locality_higher_geog,locality_specific,event_verbatim_locality,event_verbatim_date,event_began_date,event_ended_date,record_event_type,record_event_determiner,record_event_determined_date,record_event_verificationstatus,part_1_name,part_1_condition,part_1_count,part_1_disposition,part_1_remark,part_1_attribute_type_1,part_1_attribute_value_1
290,jessicatir,97,CRCM:Fish,97-787,institutional catalog number,self,,,Unknown,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,Unknown,1956-06-10,,"United States, Washington, Skagit County",No specific locality recorded.,"Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,Unknown,1956-06-10,,whole organism,unchecked,1,in collection,,preservation,ethanol
1090,jessicatir,97,CRCM:Fish,97-792,institutional catalog number,self,,,E. Kay,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,E. Kay,1960-08-17,,"United States, Washington, Island County",West Point,"West Point, Skagit Co. [sic; should be Island Co.], Washington",17-Aug-1960,1960-08-17,1960-08-17,collection,E. Kay,1960-08-17,,whole organism,unchecked,1,in collection,,preservation,ethanol
1952,jessicatir,97,CRCM:Fish,97-810,institutional catalog number,self,,,N. C. Bunker,collector,,,,,,,Microgadus proximus,1,nature of identification,unknown,N. C. Bunker,1950-08-17,,"United States, Washington, Skagit County",Burrows Bay,"Burroughs Bay, Fidalgo Island, Skagit Co., Washington",17-Aug-1950,1950-08-17,1950-08-17,collection,N. C. Bunker,1950-08-17,,whole organism,unchecked,1,in collection,,preservation,ethanol
1953,jessicatir,97,CRCM:Fish,97-811,institutional catalog number,self,,,N. C. Bunker,collector,,,,,,,Microgadus proximus,1,nature of identification,unknown,N. C. Bunker,1950-08-17,,"United States, Washington, Skagit County",Burrows Bay,"Burroughs Bay, Fidalgo Island, Skagit Co., Washington",17-Aug-1950,1950-08-17,1950-08-17,collection,N. C. Bunker,1950-08-17,,whole organism,unchecked,1,in collection,,preservation,ethanol
2402,jessicatir,97,CRCM:Fish,97-1039,institutional catalog number,self,,,Unknown,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,Unknown,1956-06-10,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,Unknown,1956-06-10,,whole organism,unchecked,1,in collection,,preservation,ethanol
2161,jessicatir,97,CRCM:Fish,97-1040,institutional catalog number,self,,,R. E. Ward,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,R. E. Ward,1956-06-10,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,R. E. Ward,1956-06-10,,whole organism,unchecked,1,in collection,,preservation,ethanol
975,jessicatir,97,CRCM:Fish,97-1041,institutional catalog number,self,,,D. L. Reiber,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,D. L. Reiber,1956-06-10,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,D. L. Reiber,1956-06-10,,whole organism,unchecked,5,in collection,,preservation,ethanol
1101,jessicatir,97,CRCM:Fish,97-1042,institutional catalog number,self,,,Unknown,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,Unknown,1956-06-10,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,Unknown,1956-06-10,,whole organism,unchecked,2,in collection,,preservation,ethanol
2403,jessicatir,97,CRCM:Fish,97-1055,institutional catalog number,self,,,Unknown,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,Unknown,1956-06-14,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",14-Jun-1956,1956-06-14,1956-06-14,collection,Unknown,1956-06-14,,whole organism,unchecked,1,in collection,,preservation,ethanol
1919,jessicatir,97,CRCM:Fish,97-1150,institutional catalog number,self,,,N. Brenneise,collector,,,,,,,Gadus chalcogrammus,1,nature of identification,unknown,N. Brenneise,1956-06-10,,"United States, Washington, Skagit County",Rosario Head,"Rosario Head, Fidalgo Island, Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,N. Brenneise,1956-06-10,,whole organism,unchecked,2,in collection,,preservation,ethanol
